method_label,corruption,accuracy,error_rate
bn,brightness,0.6064999997615814,0.3935000002384185
entropy,brightness,0.6169999957084655,0.3830000042915344
gated@0.5,brightness,0.6174000024795532,0.38259999752044677
gated@0.7,brightness,0.6181000113487244,0.3818999886512756
gated@0.9,brightness,0.6148000121116638,0.38519998788833615
source,brightness,0.540800005197525,0.459199994802475
bn,contrast,0.6819999933242797,0.3180000066757202
entropy,contrast,0.6869999766349792,0.3130000233650207
gated@0.5,contrast,0.686299991607666,0.313700008392334
gated@0.7,contrast,0.6870999932289124,0.31290000677108765
gated@0.9,contrast,0.6848000049591064,0.3151999950408936
source,contrast,0.4604999959468842,0.5395000040531158
bn,gaussian_blur,0.6152999997138977,0.3847000002861023
entropy,gaussian_blur,0.6197999954223633,0.3802000045776367
gated@0.5,gaussian_blur,0.6201000094413758,0.3798999905586242
gated@0.7,gaussian_blur,0.6200999975204468,0.37990000247955324
gated@0.9,gaussian_blur,0.617799985408783,0.382200014591217
source,gaussian_blur,0.4848999857902527,0.5151000142097473
bn,gaussian_noise,0.6180999994277954,0.3819000005722046
entropy,gaussian_noise,0.6290000081062317,0.37099999189376826
gated@0.5,gaussian_noise,0.629699993133545,0.3703000068664551
gated@0.7,gaussian_noise,0.6276000022888184,0.37239999771118165
gated@0.9,gaussian_noise,0.625600004196167,0.374399995803833
source,gaussian_noise,0.5051999986171722,0.49480000138282776
bn,jpeg,0.625,0.375
entropy,jpeg,0.6324000000953675,0.36759999990463255
gated@0.5,jpeg,0.6328999996185303,0.36710000038146967
gated@0.7,jpeg,0.6322999954223633,0.36770000457763674
gated@0.9,jpeg,0.6298000097274781,0.370199990272522
source,jpeg,0.6191999912261963,0.3808000087738037
bn,motion_blur,0.6,0.4
entropy,motion_blur,0.6077000141143799,0.3922999858856201
gated@0.5,motion_blur,0.6075999975204468,0.3924000024795532
gated@0.7,motion_blur,0.6069000005722046,0.3930999994277954
gated@0.9,motion_blur,0.6068999886512756,0.39310001134872435
source,motion_blur,0.4043000042438507,0.5956999957561493
bn,pixelate,0.5581000089645386,0.4418999910354614
entropy,pixelate,0.5664999842643738,0.43350001573562624
gated@0.5,pixelate,0.5668000102043151,0.4331999897956848
gated@0.7,pixelate,0.5651000082492829,0.43489999175071714
gated@0.9,pixelate,0.5611000061035156,0.4388999938964844
source,pixelate,0.46200000047683715,0.5379999995231628
